Name,Duplicate,Spellings_semicolon_separated,Aliases
Abātum,FALSE,A-ba-tum; A-ba-tim,
Abāya,FALSE,A-ba-a-a,
Abāya-ahu,FALSE,,
Abazi,FALSE,A-ba-zi,
Abaziašu,FALSE,a-ba-zi-a-šu; a-pé-zi-a-šu,
Abazu,FALSE,Ab-ba-zu,
Abba,FALSE,Ab-ba,
Abduata,FALSE,a-áb-du-a-ta; ab-du-a-ta; áb-du-a-ta; áp-du-a-ta,
Abed-Ištar,FALSE,Ab-di-Ištar,
Abela,FALSE,A-bi-la; a-be-i-lá; a-be-la,
Abeli,FALSE,a-be-li-i,
Abi-a’a,FALSE,A-bi4-a-a,
Abi-anum,FALSE,A-bi-a-num; A-be-a-ni-im,
Abī-Anum,FALSE,A-bi-a-num; A-be-a-ni-im,
Abī-Aššur,FALSE,A-bi4-A-šùr,
Abī-Aya,FALSE,A-bi-a-a; A-bi4-a-a,
Abī-baštī,FALSE,a-bi-ba-áš-tí; a-bi4-ba-áš-tí; a-bi4-i-ba-áš-tí,Abī-bāštī
Abī-dūrī,FALSE,A-bi-du-ri,
Abī-Ea,FALSE,A-bi-me-a,
Abi-ili,FALSE,A-bi-ì-lí; A-bi4-DINGIR; A-bi-lí,
Abi-ilī,FALSE,A-bi-ì-lí; A-bi4-DINGIR; A-bi-lí,
Abī-ilī,FALSE,A-bi-ì-lí; A-bi4-DINGIR; A-bi-lí,
Abi-lamassi,FALSE,A-bi-lá-ma-sí,
Abi-lamassī,FALSE,A-bi-lá-ma-sí,
Abī-lamassī,FALSE,A-bi-lá-ma-sí,
Abī-lamdum,FALSE,a-bi-la-am-dum; a-bi4-la-am-dum,
Abī-nāṣir,FALSE,a-bi-na-ṣir; a-bi-na-ṣé-er; a-bi4-na-ṣí-ir,
Abī-nimrī,FALSE,a-bi4-ni-im-ri,
Abi-rušakim,FALSE,a-bi-ru-ša-ki-im; a-bi-ru-ša-kim,
Abī-ṣura,FALSE,a-be-zu-ra; a-bi-ṣu-ra; a-pì-zu-ra,
Abī-ṭāb,FALSE,A-bi-DU10,
Abī-tukultī,FALSE,A-bi-tù-kul-tí,
Abī-waqar,FALSE,A-bi-wa-qar; A-bi-a-qar,
Abī-wēdum,FALSE,a-bi-we-du; a-bi-we-du-um; a-bí-we-dum,
Abia,FALSE,,
Abiat,FALSE,a-bi-a-at; a-bi-at; a-bi4-at; a-pí-a-at,
Abiati,FALSE,a-bi-at-i,
Abihu,FALSE,,
Abikunu,FALSE,,
Abila,FALSE,A-bi-la,
Abilia,FALSE,A-bi-li-a; A-be-li-a,
Abimani,FALSE,,
Abinara,FALSE,a-bi-na-ra; a-bi4-na-ra,
Abirba,FALSE,a-pè-er-ba; ab-ir-ba,
Abirih,FALSE,A-bi-ri-ih,
Abisamutim,FALSE,a-bi4-sá-mu-tim,
Abisamutum,FALSE,a-bi4-sá-mu-tim,
Abišawari,FALSE,,
Abiya,FALSE,A-be-e; a-bi-a; A-bi-a-a; A-be-a-a; A-be-i-a-a; a-bi4-a; A-bi4-a-a,
Abiziašu,FALSE,a-bi-zi-a-šu; a-pè-zi-a-šu; a-pè-zi-ah-šu; a-pé-zi-a-šu,
Abluhul,FALSE,Áb-lu-hu-ul,
Abšeni,FALSE,Áp-ší-i-ni,
Abu,FALSE,a-bu; a-bu-ú,
Abu-lamassī,FALSE,a-bu-la-ma-sí; a-bu-lá-ma-sí,
Abu-šalim,FALSE,A-bu-ša-lim,
Abu-ṭāb,FALSE,A-bu-hi; A-bu-DU10,
Abu-waqar,FALSE,A-bu-qar,
Abua,FALSE,a-bu-a; a-bu-a-a; a-bu-ú-a,
Abuani,FALSE,A-bu-a-ni,
Abuattil,FALSE,a-bu-at-il,
Abubu,FALSE,A-bu-bu,
Abula,FALSE,A-bu-lá-a,
Abulāya,FALSE,a-bu-la-a; a-bu-lá-a,
Abulu,FALSE,a-bu-lu,
Abum-ilī,FALSE,A-bu-um-DINGIR; A-bu-um-ili,
Abum-ilum,FALSE,A-bu-um-DINGIR,
Abuna,FALSE,a-bu-na; a-pu-na,
Abunakia,FALSE,a-bu-na-ki-a,
Abuni,FALSE,a-bu-ni; a-bu-ni-i,Abuna
Abuqar,FALSE,,
Abusa,FALSE,A-bu-sá-a; A-bu-sà,
Abušalim,FALSE,a-bu-ša-lim,
Abuta,FALSE,A-bu-ta-a; a-bu-ta,
Abutāya,FALSE,,
Abutria,FALSE,A-bu-ut-ri-a; a-bu-ut-ri-a; a-pu-ut-ri-a,
Abutum,FALSE,a-bu-tum,
Abuya,FALSE,A-bu-a-a,
Abuza,FALSE,A-bu-za,
Abuzia,FALSE,A-bu-zi-a,
Ad-dānni,FALSE,a-ta-ni; ad-da-ni,
Adā,FALSE,A-da-a; A-da-a-a; A-da,
Adad-<gap>-ur-zu,FALSE,{d}IM-<gap>-ur-zu,
Adad-asû,FALSE,{d}IŠKUR-a-ZU; {d}IŠKUR.A.ZU,
Adad-bani,FALSE,{d}IM-ba-ni,
Adad-bāni,FALSE,{d}IM-ba-ni,
Adad-bēlāni,FALSE,{d}IM-be-lá-ni; {d}IM-bé-lá-ni; {m}{d}IŠKUR-be-lá-ni,
Adad-bēlī,FALSE,{d}IM-be-li,
Adad-damiq,FALSE,{d}IM.SIG5; {d}IŠKUR.SIG5,
Adad-dān,FALSE,{d}IM-dan; {d}IŠKUR-da-an; {d}IŠKUR-dan; IŠKUR-da-an; IŠKUR-dan,
Adad-dugul,FALSE,{d}IM--du-gu5-ul,
Adad-ellat,FALSE,{d}IM-ILLAT; A-de8-lá-at,
Adad-ennam,FALSE,{d}IŠKUR-e-nam; {d}IŠKUR-en-nam,
Adad-gāmil,FALSE,{d}IM-ga-mil; {d}IM-ga-mì-il5; {d}IŠKUR-ga-mì-il5,
Adad-husanni,FALSE,{d}IM-hu-sà-ni,
Adad-hussanni,FALSE,{d}IM-hu-sà-ni,
Adad-hussī,FALSE,{d}IM-hu-sí,
Adad-ilī,FALSE,{d}IM-i-li,
Adad-ilka,FALSE,{d}IM-DINGIR-kà,
Adad-malik,FALSE,{d}IM-ma-lik,
Adad-mālik,FALSE,{d}IM-ma-lik,
Adad-nāṣir,FALSE,{d}IM-na-ṣir,
Adad-PA.ZI,FALSE,{d}IM-PA.ZI,
Adad-palil,FALSE,{d}IM-pá-li-il5,
Adad-pilah,FALSE,{d}IM-pì-lá-ah,
Adad-rabi,FALSE,{d}IM-GAL; {d}IŠKUR.GAL; {d}IŠKUR-re-be; {d}IM-GAL; {d}IM.GAL; {d}IŠKUR-ra-bi; {d}IŠKUR-ra-bi4; {d}IM-ra-bi; {d}IM-ra-bi4; {m}{d}IŠKUR-GAL; {d}IM.GAL-ma; {d}IŠKUR.GAL-ma; {d}IM-ra-bi4-ma; {d}IŠKUR-ri-bi4; {m}{d}IŠKUR.GAL; {d}IM-ra-bí,
Adad-rabitum,FALSE,{d}IŠKUR-ra-bi-tum,
Adad-rē'ī,FALSE,{d}IM-SIPA; {d}IM-SIPA-ma,Adad-re’i
Adad-reṣi,FALSE,{d}IM-re-ṣí,
Adad-rēṣi,FALSE,{d}IM-re-ṣí,
Adad-rēṣī,FALSE,{d}IM-re-ṣí,
Adad-ribi,FALSE,{d}IM-ri-bi,
Adad-šamšī,FALSE,{d}IM-{d}UTU-ši,
Adad-simtī,FALSE,{d}IM-sí-im-tí,
Adad-ṣululi,FALSE,{d}IM-ṣú-lu-li; {d}IM-ANDUL,
Adad-ṣululī,FALSE,{d}IM-ṣú-lu-li; {d}IM-ANDUL,
Adad-ṣulūlī,FALSE,{d}IM-ṣú-lu-li; {d}IM-ANDUL,
Adad-ṭāb,FALSE,{d}IM-DU10,
Adad-taklāku,FALSE,{d}IM-ták-lá-ku,
Adad-takul,FALSE,{d}IM-[t]ù-ku-ul,
Adad-tappā'ī,FALSE,IM-tap-pá-i-ma,
Adad-tukultī,FALSE,{d}IŠKUR-tù-kúl-tí; {d}IM-tù-kul-tí; {d}IŠKUR-tù-ku-ul-tí; {d}IM-tu-kúl-tí; {d}IŠKUR-tù-ku-ul,
Adadā,FALSE,A-da-da; a-da-da-a; a-ta-ta; a-tá-ta; a-da-da-a-a; a-ta-ta-a; a-tá-tá; a-dá-da; a-da-da-ma; a-ta-ta-ma; a-ta-a-ta; {d}IM-a-a,Adada; Adadāya
,,,
,,,
,,,
,,,
Adadia,FALSE,A-da-dí-i-a; a-da-di-a; a-ta-tí-a; a-ta-tí-a-ma,
Adadi,FALSE,a-da-dí; a-ta-tí,
,,,
,,,
Adadua,FALSE,a-da-du-wa; a-da-du-a,Adaduwa
Adahši,FALSE,,
Adahšu,FALSE,[A]-ta-ah-šu,
Adala,FALSE,a-da-lá,
Adallal,FALSE,A-da-làl,
Adamaluni,FALSE,A-da-ma-ku-ni,
Adana,FALSE,A-da-na,
Adašuka,FALSE,,
Adaya,FALSE,,
Addellat,FALSE,,
Addu,FALSE,A-du; A-du-ú,
Addu-dādī,FALSE,,
Adduwa,FALSE,A-du-wa; A-du-wa-a,
Adi-abum,FALSE,,
Adi-Aššur,FALSE,A-dí-A-šùr,
Adi-matum,FALSE,A-dí-ma-tum,
Adia,FALSE,A-dí-a,
Adida,FALSE,A-dí-da; A-dí-ta,
Adidum,FALSE,A-dí-dim,
Adimātum,FALSE,A-dí-ma-tum,
Adina,FALSE,A-dí-na,
Adiu,FALSE,A-dí-ú,
Admati-ilī,FALSE,Ad-ma-tí-i-li,
Adu,FALSE,A-du,
Adû,FALSE,A-du-ú; A-tù; A-du,Adu
Adua,FALSE,A-du-a; A-du-a-a,
Aduahši,FALSE,A-du-ah-ší,
Aduahšu,FALSE,A-du-ah-šu,
Aduašu,FALSE,A-du-a-šu,
Aduda,FALSE,A-du-da,
Adudadi,FALSE,A-du-da-dí,
Adudāya,TRUE,A-du-da-a,
Adudāya,TRUE,A-du-ta-a,
Adudi,FALSE,A-du-dí,
Adudu,TRUE,A-du-du,
Adudu,TRUE,a-du-du; a-du-d[u]; [a]-du-du,
Adudu,TRUE,A-du-du; A-du-du-um,
Adudua,FALSE,A-du-du-a; A-du-du-wa,
Adudum,FALSE,A-du-du-um,
Adue,FALSE,A-du-e,
Aduki,FALSE,A-du-ki; A-du-[k]i,
Adula,FALSE,A-du-la,
Adum,FALSE,,Aduman
Aduma,FALSE,A-du-ma,
Aduman,TRUE,a-du-ma-an,
Aduman,TRUE,A-du-ma-an; An-du-ma-an,
Aduman,TRUE,a-du-ma[-an],
Aduna’a,FALSE,a-du-[n]a-a,
Aduria,TRUE,,
Aduria,TRUE,A-du-ri; a-du-ri-a,
Aduta,FALSE,A-du-ta; A-du-ta-a,
Aduwa,TRUE,a-du-wa,
Aduwa,TRUE,a-du-wa-a,
Aduwašu,FALSE,a-du-a-šu,
Aduwe,FALSE,A-du-e,
Aga,FALSE,A-ga,
Agabši,TRUE,a-ga-áb-ší,
Agabši,TRUE,a-ga-áb-ší; a-ga<-áb>-ší,
Agaya,FALSE,A-ga-a,
Agi-Anu,FALSE,A-ki-a-num,
Agia,FALSE,A-gi-a,
Agta,FALSE,Ag-ta,
Agua,TRUE,A-gu-a; A-gu-a-a; A-gu-ú-a; A-ku-a; A-ku-ú-a,
Agua,TRUE,A-ku-a,
Agua,TRUE,A-ku-ú-a,
Ah-šalim,FALSE,Ah-ša-lim,
Aha,FALSE,A-ha-a,
Ahaha,FALSE,A-ha-ha; A-ha-ha-a,
Ahailu..ku,FALSE,A-ha-i-lu--ku,
Ahalab,FALSE,A-ha-lá-ap/áp,
Aham-arši,FALSE,Ah-mar-ší,
Aham-larši,FALSE,A-ha-,
Ahanarši,FALSE,A-ha-na-ar-ší,
Ahanišu,FALSE,A-ha-ni-šu; a-ha-ni-šu-ma,
Ahānum,FALSE,A-ha-nu-um; A-ha-lim,
Ahar,FALSE,A-ha-ar,
Aharni,FALSE,,
Aharudana,FALSE,,
Ahasu,FALSE,,
Ahat-abiša,FALSE,,
Ahatim,FALSE,A-ha-tim,
Ahatitum,FALSE,A-ha-at-tim; A-ha-tí-tim,
Ahatu,FALSE,A-ha-tu,
Ahātua,FALSE,A-ha-tu-a,
Ahatum,FALSE,A-ha-tu-um,
Ahātum,FALSE,A-ha-tu-um,
Ahawahram,FALSE,,
Ahāya,FALSE,a-ha-a,
Ahe,FALSE,A-hi-e,
Ahi-aya,TRUE,A-hi-a,
Ahi-aya,TRUE,a-hi-a-a,
Ahi’umar,FALSE,,
Ahia,TRUE,A-hi-a,
Ahia,TRUE,a-hi-a-a,
Ahia’a,FALSE,a-hi-a-a,
Ahiya,FALSE,a-hi-a-a,
Ahīya,FALSE,A-hi-a-a; A-hi-e-a,
Ahlu,FALSE,,
Ahmarši,FALSE,,
Ahmāya,FALSE,,
Ahšila,FALSE,Ah!-ší!-lá!,
Ahu,FALSE,A-a-hu-ú,
Ahu-<gap>-ša,FALSE,a-hu-[x]-ša,
Ahu-ahī,FALSE,A-hu-a-hi; A-hu-wa-hi,
Ahu-DU10,FALSE,a-hu-DU10,
Ahu-kēn,FALSE,A-hu-ki-in,
Ahu-ṭab,FALSE,a-hu-DU10,
Ahu-ṭāb,FALSE,a-hu-DU10,
Ahu-waqar,FALSE,A-hu-wa-qar; A-hu-qar,Ahuqar
Ahua,TRUE,a-hu-a,
Ahua,TRUE,A-hu-a; A-hu-ú-a,
Ahua,TRUE,a-hu-ú-a,
Ahuea,FALSE,A-hu-e-a,
Ahumila,FALSE,A-hu-me-lá,
Ahuni,FALSE,a-hu-ni,
Ahunia,FALSE,A-hu-ni-a,
Ahuša,FALSE,A-hu-ša,
Ahušu,FALSE,,
Ahušunu,FALSE,A-hu-šu-nu,
Ahuwaqar,FALSE,A-hu-wa-qar,
Ahuwāya,TRUE,A-hu-wa-a-a,
Ahuwāya,TRUE,A-hu-wa-a; A-hu-wa-a-a,
Ai-qudadi,FALSE,a-i-qú-da-dí,Aikudadi
Ak,FALSE,A-ak,
Aka,FALSE,A-ga-a,
Akabši,FALSE,A-ga-áp-ší,
Akaka,FALSE,a-ka-ka,
Akala,FALSE,A-ga-la,
Akaliuman,FALSE,A-kà-li-ú-ma-an,
Akalum,FALSE,a-ka-lum; a-kà-li-im; a-kà-lim,
Akatia,FALSE,A-kà-dí-a; A-kà-tí-a; A-ga-tí-a-[ma],
Akātia,FALSE,A-kà-tí-a,
Akāya,FALSE,A-ga-a,
Akazi,FALSE,A-ga-zi,
Akia,TRUE,A-ki-a,
Akia,TRUE,A-ki-a-a,
Akia,TRUE,A-ki-a; A-ki-a-a; A-gi-a,
Akianum,FALSE,,Agi-Anum
Akiaya,FALSE,A-ki-a-a,
Akikia,FALSE,A-ki-ki-a,
Akita,FALSE,A-ki-ta-a,
Akitaya,FALSE,a-ki-ta-a,
Akitum,FALSE,a-ki-tum,
Akna,FALSE,A-ak-na,
Aku,FALSE,A-ku,
Akua,FALSE,A-ku-a,
Akudanum,FALSE,a-ku-da-num,
Akuka,TRUE,A-ku-ga; A-ku-kà,
Akuka,TRUE,A-ku-ka,
Akukum,FALSE,a-ku-ku; a-ku-ku-um; a-ku-ki-im; a-ku-ku; a-ku-ku-um; a-ku-kum,Akuku
Akusānum,FALSE,A-ku-za-num,
Akušu,FALSE,,
Akutia,FALSE,A-ku-tí-a,
Akutum,TRUE,A-ku-du; A-ku-tim,
Akutum,TRUE,A-ku-tim,
Akuwid,FALSE,a-ku-wi-id,
Akuza,TRUE,A-ku-za-a,
Akuza,TRUE,A-ku-za; A-gu-za; A-ku-za-a,
Akuzānum,FALSE,A-ku-za-num,
Al-ahi,FALSE,Al-a-hi,
Al-beli,FALSE,Al-be-lí; Al-bé-lí,
Al-bēli,FALSE,Al-be-lí; Al-bé-lí,
Al-bēlī,FALSE,Al-be-lí; Al-bé-lí,
Al-ilī,FALSE,A-li-li,
Al-ṭab,FALSE,A-al-DÙG; A-al-DU10,
Al-ṭāb,FALSE,A-al-DÙG; A-al-DU10,
Ala,FALSE,A-lá,
Ala’a,FALSE,a-lá-a,
Alabia,FALSE,A-lá-pí-a,
Alābu,FALSE,A-lá-bu-um; A-lá-bi4-im; A-lá-bi-im; A-la-bu-um,Alābum; Alabum; Ali-abum
Alābum,FALSE,A-la-bu-um; A-lá-bu-um; A-la-bi-im; a-la-be-im; A-lá-bi4-im,Alabum; Ali-abum
Aladirum,FALSE,a-lá-di-ru-um,
Alahati,FALSE,,
Alahātī,FALSE,,
Alahia,FALSE,A-lá-hi-a,
Alahim,TRUE,A-lá-hi-im,
Alahim,TRUE,a-lá-hi-im; [a-lá-hi]-im; a-lá-h[i-im],
Alahiš,FALSE,A-lá-hi-iš,
Alahum,FALSE,A-lá-hu-um; A-la-hu-um,Ali-ahum
Alakam,FALSE,A-la-ku; A-lá-ku,Alaku
Alaku,FALSE,A-la-ku; A-lá-ku,
Alal-mišar,FALSE,A-lá-al-me-šar,
Alala,FALSE,A-la-la,
Alalaš,FALSE,a-lá-lá-áš,
Alali-<gap>,FALSE,A-la-li-<gap>,
Alalulāya,FALSE,,
Alama,FALSE,a-la-ma; a-lá-a-ma; a-lá-ma,
Alāni,FALSE,a-lá-ni,
Alanu,FALSE,a-lá-ni,
Alaria,FALSE,A-lá-ri-a,
Alašaki,FALSE,A-lá-ša-ki,
Alauani,FALSE,a-la-wa-ni,
Alaumitia,FALSE,A-lá-ú-me-tí-a,
Alawa,FALSE,A-lá-wa,
Alawanni,FALSE,A-lá-ú-a-ni,
Alawašhi,FALSE,A-lá-wa-áš-hi,
Alaya,FALSE,,
Alayakaya,FALSE,a-la-a-ka-a; a-lá-kà,
Ale,FALSE,A-le-e,
Ali,TRUE,a-li,
Ali,TRUE,a-li; a-li-i,
Ali-abum,FALSE,A-lá-bu-um; A-lá-bi4-im; A-lá-bi-im; A-la-bu-um,Alābum; Alabum; Alābu; Ali-abum
Ali-ahī,FALSE,A-lá-hu-um; A-la-hu-um,Ali-ahum
Ali-ahum,TRUE,A-la-hi-im,
Ali-ahum,TRUE,A-lá-hu-um; A-la-hu-um; A-la-hi-im,
Ali-ilī,FALSE,,
Ali-waqrum,FALSE,A-li-wa-aq-ru-um; A-lá-aq-ru-um,
Alia,FALSE,A-li-a,
Aliahšušar,FALSE,,
Alidi,FALSE,a-li-dí,
Alile,FALSE,A-li-li-e,
Alili,TRUE,a-li-li,
Alili,TRUE,A-li-lim; a-li-li,
Alilie,FALSE,a-li-li-e,
Alilu,FALSE,a-li-lu,
Alina,FALSE,A-li-na,
Ališa,FALSE,A-li-ša,
Alitum,FALSE,A-li-tum,
Aliya,FALSE,A-li-a,
Alkaria,TRUE,Al-ga-ri-a,
Alkaria,TRUE,al-kà-ri-a,
Alluhrum,FALSE,,
Alluwa,FALSE,A-lu-a; A-lu-wa; A-lu-wa-a,
Alp-ilī,FALSE,al-pì-DINGIR; al-pì-li; al-pì-lí; el-pì-DINGIR,
Alpu-ilī,FALSE,Al-pì-DINGIR,
Alpuar,FALSE,Al-pu-ar,
Alu,TRUE,a-[l]u; a-lu,
Alu,TRUE,a-lu,
Alu,TRUE,A-lu; A-lu-ú; a-lu,
Alu-šarrum,FALSE,a-lu-LUGAL-ri-im; a-lu-šar-um,
Alu’u,FALSE,a-lu-ú,
Alua,TRUE,a-lu-a,
Alua,TRUE,A-lu-ú-a; A-lu-a,
Alua-rabi,FALSE,a-lu-a-ra-bi,
Aludhuharša,FALSE,,
Alukrum,FALSE,A-lu-uk-ri-im,
Alula,FALSE,,
Alulaya,FALSE,,
Alulāya,TRUE,A-lu-lá-a,Alulaya
Alulāya,TRUE,A-lu-la/lá-a,
Alulu,TRUE,A-lu-lu,
Alulu,TRUE,a-lu-lu; a-[lu-lu-ú]; a-lu-lu-ú,
Alulur,FALSE,A-lu-lu-ur,
Aluluwa,FALSE,A-lu-lu; A-lu-lu-ú; A-lu-lu-wa; a-lu-lu-wa; a-lu[-lu-wa],
Alum,FALSE,a-lum; a-lim{ki}; a-lim,
Alum-ahšu,FALSE,a-lu-um-a-ah-šu,
Alumahšu,FALSE,A-lu-um-a-ah-šu; A-lu-ma-ah-ší,
Alurani,FALSE,a-lu-ra-ni,
Alutani,FALSE,a-lu-ta-ni,
Aluwa,FALSE,a-lu-wa-a; a-lu-wa,
Aluwahariša,FALSE,A-lu-wa!-ha!-ri-ša,
Aluwazi,FALSE,A-lu-a-zi; A-lu-wa-zi,
Aluzubu,FALSE,a-lu-zu-bu,
Alwana,FALSE,a-al-wa-na; al-wa-na,
Alzahala,FALSE,Al-za-ha-lá,
Ama,TRUE,A-m[a],
Ama,TRUE,a-ma,
Ama’a,FALSE,A-ma-a,
Amaba,FALSE,A-ma-pá,
Amaea,FALSE,,
Amakani,FALSE,a-ma-ka-ni,
Amalia,FALSE,a-ma-[l]i-a-áš; a-ma-li-a; A-ma-li-[,Amaliaš
Amalu,FALSE,A-ma-lu,
Amama,FALSE,A-ma-ma,
Amārum,FALSE,A-ma-ri-im,
Amašiwašmiš,FALSE,,
Amašuišmiš,TRUE,A-ma-šu-iš-me-iš; A-ma-ší-wa-áš-[me]-iš,
Amašuišmiš,TRUE,a-ma-šu-iš-mì-iš,
Amašuišmiš,TRUE,a-ma-šu-iš-mì-iš; a-ma-[ší-wa-áš-mì]-iš,
Amaya,TRUE,A-ma-a,
Amaya,TRUE,A-ma-a-a; A-ma-a; Am-ma-a,
Amāya,FALSE,A-ma-a-a; A-ma-a; Am-ma-a,
Amibura,FALSE,A-mì-bu-ra,
Amidašum,FALSE,,
Amihepa,FALSE,A-mì-hi-pá,
Amimi,FALSE,a-mi-mi,
Amirša,FALSE,A-me-er-ša,
Amita,FALSE,A-me-ta,
Amlia,FALSE,am-li-a,
Amma,FALSE,am-ma,
Ammārum,FALSE,A-ma-ri-im,
Ammāya,FALSE,,
Amra,FALSE,Am-ra,
Amrāya,FALSE,Am-ra; Am-ra-a,
Amria,TRUE,Am-ri-a,
Amria,TRUE,Am-ri-a; A-am-ri-a,
Amria,TRUE,am-ri-a; a[m-ri-a],
Amriya,FALSE,Am-ri-a; A-am-ri-a,
Amtum,FALSE,,
Amua,FALSE,A-mu-a,
Amubura,FALSE,a-mu-bu-ra,
Amuna,TRUE,a-[m]u-na,
Amuna,TRUE,A-mu-na,
Amunahšu,FALSE,A-mu-na-ah-šu,
Amunani,FALSE,A-mu-na-ni,
Amunāya,FALSE,A-mu-na-a,
Amur-Adad,FALSE,A-mur-{d}IM,
Amur-agia-šarrim,FALSE,,
Amur-AN,FALSE,a-mur-AN,
Amur-Aššur,TRUE,A-mur-A-šùr,
Amur-Aššur,TRUE,A-mur-A-šur/šùr,
Amur-bāni,FALSE,a-mur-ba-ni,
Amur-Ea,FALSE,A-mur-i-a,
Amur-ilī,FALSE,A-mur-DINGIR,Amur-il
Amur-Ištar,TRUE,A-mur-Ištar,
Amur-Ištar,TRUE,A-mur-Ištar; Am-ri-Ištar,
Amur-kala,FALSE,A-mur-kà-lá,
Amur-lussu,FALSE,,
Amur-luṣu,FALSE,,
Amur-lūṣu,FALSE,A-mur-lu-sú,
Amur-qāti-Ištar,FALSE,A-mu-ur-qá-tí-Ištar,
Amur-rabussa,FALSE,a-mur-ra-bu-sa,
Amur-Šamaš,FALSE,A-mur-{d}UTU,
Amur-šamšī,FALSE,A-mur-{d}UTU-ši,Amur-šamši
Amur-šarrassa,FALSE,A-mur-ša-ra-sà,
Amur-Suen,FALSE,A-mur-{d}EN.ZU,
Amura,TRUE,A-mu-ra-a,
Amura,TRUE,A-mu-ra; A-mu-ra-a,
Amurāya,FALSE,A-mu-ra; A-mu-ra-a,Amuraya
Amuri,FALSE,A-mu-ri,
Amuria,FALSE,A-mur-i-a,
Amurrītum,FALSE,,
Amurru-bāni,FALSE,,Amurru-bani
Amurrum-bāni,TRUE,{d}MAR.TU-ba-ni; MAR.TU-ba-ni; A-mu-ur-ba-ni,
Amurrum-bāni,TRUE,MAR.TU-ba-ni,
Amurrum-ennam,FALSE,MAR.TU-e-nam,
Amušara,FALSE,a-mu-ša-ra,
Amutum,FALSE,,
An-ilī,FALSE,an-í-lì,
AN.KI-bāni,FALSE,,
Ana-<gap>-artim,FALSE,,
Ana-Aššur-taklaku,FALSE,,
Ana-tappa,FALSE,a-na-ta-pa,
Anah-Aššur,FALSE,A-na-ah-A-šur,
Anah-ili,FALSE,a-na-ah-ì-lí; a-na-ah-DINGIR; a-na-hi-ili5; a-na-hi-li; a-na-hi-DINGIR; a-na-hi-il5; {m}a-na-ah-ì-lí; a-na-ah-li; a-na-ah-il5; a-na-ah-DINGIR-ma; a-na-ah-ì-lí-ma; a-na-ah-ì-li,
Anah-ilī,TRUE,A-na-ah-DINGIR,
Anah-ilī,TRUE,A-na-ah-ì-lí,
Anah-ilī,TRUE,A-na-ah-ì-lí; A-na-hi-ili5; A-na-ah-DINGIR; A-na-hi-li,
Anah-Ištar,FALSE,a-na-ah-IŠTAR,
Anaha,FALSE,A-na-ah-a,
Anahluka,FALSE,a-na-ah-lu-kà,Anahluga
Anahšu,FALSE,A-na-ah-šu,
Anakāya,FALSE,A-na-kà-a,Anaka
Anāku-ilumma,FALSE,A-na-ku-DINGIR-ma,
Anali,FALSE,A-na-li,
Analia,FALSE,A-na-li-a,
Anana,TRUE,a-na-a-na,
Anana,TRUE,A-na-a-na; A-na-na,
Anana,TRUE,a-na-na,
Ananaya,FALSE,,
Anani,TRUE,A-na-ni; A-na-nim; A-na-nu-um,
Anani,TRUE,a-na-nu-um,
Anari,FALSE,a-na-ri,
Anarila,FALSE,A-na-ri-la,
Anaš,TRUE,a-na-áš,
Anaš,TRUE,a-na-áš; <a->na-áš,
